dt,x,y,position,velocity,acceleration,jerk,heading
0.02,9.697658,0.732,9.697758,1.368272,-2.968553,0,0
0.02,9.723836,0.732,9.723936,1.308901,-2.968553,0,0
0.02,9.748827,0.732,9.748927,1.24953,-2.968553,0,0
0.02,9.77263,0.732,9.77273,1.190159,-2.968553,0,0
0.02,9.795245,0.732,9.795345,1.130788,-2.968553,0,0
0.02,9.816674,0.732,9.816774,1.071416,-2.968553,0,0
0.02,9.836915,0.732,9.837015,1.012045,-2.968553,0,0
0.02,9.855968,0.732,9.856068,0.952674,-2.968553,0,0
0.02,9.873834,0.732,9.873934,0.893303,-2.968553,0,0
0.02,9.890513,0.732,9.890613,0.833932,-2.968553,0,0
0.02,9.906004,0.732,9.906104,0.774561,-2.968553,0,0
0.02,9.920308,0.732,9.920408,0.71519,-2.968553,0,0
0.02,9.933424,0.732,9.933524,0.655819,-2.968553,0,0
0.02,9.945353,0.732,9.945453,0.596448,-2.968553,0,0
0.02,9.956095,0.732,9.956195,0.537077,-2.968553,0,0
0.02,9.965649,0.732,9.965749,0.477706,-2.968553,0,0
0.02,9.974016,0.732,9.974116,0.418335,-2.968553,0,0
0.02,9.981195,0.732,9.981295,0.358964,-2.968553,0,0
0.02,9.987187,0.732,9.987287,0.299593,-2.968553,0,0
0.02,9.991991,0.732,9.992091,0.240222,-2.968553,0,0
0.02,9.995608,0.732,9.995708,0.180851,-2.968553,0,0
0.02,9.998038,0.732,9.998138,0.12148,-2.968553,0,0
0.02,9.99937,0.732,9.99947,0.0666,-2.743985,11.228377,0
0.02,9.999892,0.732,9.999992,0.026107,-2.024659,35.966318,0
0.02,10,0.732,10.0001,0.005404,-1.035141,49.475883,0
0.02,10,0.732,10.0001,0,-0.270191,38.247506,0
